Risk_ID,Category,Risk_Title,Description,Likelihood,Consequence,Risk_Level,Mitigation,Residual_Risk,Owner,Reference_Doc
R-011,Heavy Lift,AHC failure during lift,Active heave compensation system fails while submarine suspended,3-Possible,4-Major,HIGH,Passive spring backup; auto-lock on failure; abort protocol,MODERATE,Lift System Lead,07-heavy-lift-system.md
R-012,Heavy Lift,Cable failure,One lift cable fails under tension,2-Unlikely,4-Major,MODERATE,5.0 SF on cables; NDE inspection every 200 hrs; load monitoring,LOW,Lift System Lead,07-heavy-lift-system.md
R-013,Heavy Lift,Sling failure under submarine,Sling passes under hull breaks during lift,1-Rare,5-Catastrophic,HIGH,1.39 SF; pre-lift NDE; 12 sling pairs for redundancy,MODERATE,Rigging Lead,07-heavy-lift-system.md
R-014,Heavy Lift,Submarine hull breaks during lift,Corroded submarine hull fails under sling loads,2-Unlikely,5-Catastrophic,EXTREME,Pre-lift ROV survey; UT thickness; distributed sling loading; slow lift,HIGH,Lift System Lead,07-heavy-lift-system.md
R-015,Heavy Lift,Seabed breakout force exceeds design,Submarine embedded deeper than expected requiring more force,3-Possible,3-Moderate,MODERATE,140% breakout force margin; suction/jetting to loosen sediment,LOW,Lift System Lead,07-heavy-lift-system.md
R-016,Heavy Lift,Buoyancy pontoon failure at depth,One or more buoyancy pontoons fail during Mode B lift,2-Unlikely,4-Major,MODERATE,18 pontoons provide 3.5% net buoyancy margin; ROV monitoring,LOW,Lift System Lead,07-heavy-lift-system.md
R-017,Nuclear,Criticality event (K-27),Geometry change in K-27 VT-1 reactor leads to uncontrolled fission,1-Rare,5-Catastrophic,EXTREME,Gimbal cradle ±1°; neutron monitors; boron injection; no water ingress,HIGH,Nuclear Safety,08-nuclear-safety-containment.md
R-018,Nuclear,Reactor coolant leak to pool,Cs-137 or other radionuclides leak from reactor into moon pool water,4-Likely,3-Moderate,HIGH,Pool isolation gates; contaminated water treatment (DF>10^4); discharge monitoring,MODERATE,Nuclear Safety,08-nuclear-safety-containment.md
R-019,Nuclear,Airborne radioactive release,Volatile fission products released during reactor bay operations,2-Unlikely,5-Catastrophic,HIGH,HEPA + charcoal ventilation; negative pressure bay; CAMs; auto-shutdown,MODERATE,Nuclear Safety,08-nuclear-safety-containment.md
R-020,Nuclear,Worker radiation overexposure,Personnel exceed 20 mSv/yr dose limit,3-Possible,4-Major,HIGH,Shielding (10+ TVL); EPDs; ALARA programme; remote handling,MODERATE,Health Physics,08-nuclear-safety-containment.md
R-021,Nuclear,Pu-239 release from K-278 torpedoes,Nuclear torpedo warhead damaged during handling releasing alpha emitters,2-Unlikely,5-Catastrophic,HIGH,Alpha monitoring; glove box handling; HEPA; sealed torpedo bay,MODERATE,Nuclear Safety,08-nuclear-safety-containment.md
R-022,DP/Station-keeping,DP blackout,Complete loss of DP capability due to power failure,1-Rare,5-Catastrophic,EXTREME,DP3 redundancy; 4 engine rooms; UPS; auto-restart; mooring backup,HIGH,DP Lead,04-dynamic-positioning.md
R-023,DP/Station-keeping,DP drive-off,DP system error commands thrusters to move platform off station,1-Rare,5-Catastrophic,EXTREME,Triple-redundant DP computers; operator override; auto-detect logic,HIGH,DP Lead,04-dynamic-positioning.md
R-024,DP/Station-keeping,Thruster ventilation,Thruster draws air due to wave action reducing effective thrust,3-Possible,3-Moderate,MODERATE,9 m submergence at operating draft; auto-power reduction at low draft,LOW,DP Lead,04-dynamic-positioning.md
R-025,DP/Station-keeping,Position reference failure,Loss of multiple position reference systems simultaneously,2-Unlikely,4-Major,MODERATE,6 independent references (3 DGPS + 2 HPR + 1 taut wire),LOW,DP Lead,04-dynamic-positioning.md
R-026,Power,Main generator failure,One main generator trips during operations,3-Possible,2-Minor,LOW,6 generators; any 4 sufficient for peak demand; auto-load sharing,LOW,Chief Engineer,09-power-generation.md
R-027,Power,Engine room fire (worst case),Fire in engine room containing 2 generators,2-Unlikely,4-Major,MODERATE,4 separated engine rooms; CO2 flooding; auto fire detection,LOW,Chief Engineer,09-power-generation.md
R-028,Power,Fuel contamination,MGO contaminated causing engine damage,2-Unlikely,3-Moderate,LOW,Dual centrifugal separators; fuel testing; settling tanks,LOW,Chief Engineer,09-power-generation.md
R-029,Stability,Uncontrolled flooding,Progressive flooding beyond one compartment,1-Rare,5-Catastrophic,HIGH,Watertight subdivision; high-capacity bilge pumps; cross-flooding system,MODERATE,Naval Architect,10-stability-ballast.md
R-030,Stability,Ballast system failure during lift,Unable to compensate for submarine weight during surface break,2-Unlikely,5-Catastrophic,HIGH,8 main + 4 emergency pumps; gravity deballast backup; slow lift speed,MODERATE,Ballast Engineer,10-stability-ballast.md
R-031,Stability,Excessive list during submarine loading,Asymmetric load causes list > 5°,3-Possible,3-Moderate,MODERATE,Computerised ballast control; real-time inclinometer feedback,LOW,Ballast Engineer,10-stability-ballast.md
R-032,Operational,Weather window exceeded,Storm arrives during lift operations,3-Possible,4-Major,HIGH,48-hr forecast monitoring; abort/lower procedure; survival draft capability,MODERATE,Marine Ops,12-operational-modes.md
R-033,Operational,Loss of ROV during rigging,Work-class ROV becomes unrecoverable at depth,3-Possible,3-Moderate,MODERATE,4 ROVs (2 primary + 2 backup); tether management system,LOW,ROV Lead,07-heavy-lift-system.md
R-034,Operational,Submarine shifts on cradle during transit,Lashing failure allows submarine movement on deck,2-Unlikely,5-Catastrophic,HIGH,24 steel stoppers + chain lashings; strain gauge monitoring; speed reduction,MODERATE,Marine Ops,12-operational-modes.md
R-035,Environmental,Oil spill from platform,Fuel or hydraulic oil release to sea,2-Unlikely,4-Major,MODERATE,Double-bottom fuel tanks; containment coamings; SOPEP plan; 20 m³ spill kit,LOW,Environmental,11-accommodation-systems.md
R-036,Environmental,Radioactive release to sea,Treated water discharge exceeds limits,2-Unlikely,5-Catastrophic,HIGH,Continuous discharge monitoring; auto-shutoff at >1 Bq/L; holding tanks,MODERATE,Nuclear Safety,08-nuclear-safety-containment.md
R-037,Construction,Schedule overrun,Construction takes >48 months,4-Likely,3-Moderate,HIGH,6-month schedule float; critical path monitoring; Korean yard selection,MODERATE,Project Manager,13-construction-specification.md
R-038,Construction,Cost escalation,Final cost exceeds $2.9B estimate,4-Likely,3-Moderate,HIGH,20% contingency; fixed-price contracts where possible; value engineering,MODERATE,Project Manager,13-construction-specification.md
R-039,Personnel,Helicopter accident,Helicopter crash during crew transfer,1-Rare,5-Catastrophic,HIGH,CAP 437 helideck compliance; weather minimums; IFR-equipped aircraft,MODERATE,Aviation Ops,11-accommodation-systems.md
R-040,Personnel,Mass casualty event,Multiple personnel injured/killed in accident,1-Rare,5-Catastrophic,HIGH,Safety management system; emergency response plan; medevac capability,MODERATE,HSE Manager,11-accommodation-systems.md
R-041,Geopolitical,Denial of access to site,National government revokes access permission,2-Unlikely,5-Catastrophic,HIGH,International treaty framework; IAEA sponsorship; diplomatic engagement,HIGH,Programme Director,14-historical-precedent.md
R-042,Geopolitical,Security threat,Platform targeted by hostile actors during nuclear operations,1-Rare,5-Catastrophic,HIGH,Naval escort; exclusion zone; security team; encrypted communications,MODERATE,Security,14-historical-precedent.md
